time,open,high,low,close,volume,turnover
2020-12-07 16:00:00+00:00,19222,19250.5,18921,18970,1845.59,35010842.3
2020-12-07 20:00:00+00:00,18970,19216.5,18948,19176.5,1097.595,21048030.5175
2020-12-08 00:00:00+00:00,19176.5,19235,19145,19167,527.818,10116687.606
2020-12-08 04:00:00+00:00,19167,19306,19087.5,19162.5,1012.751,19406841.0375
2020-12-08 08:00:00+00:00,19162.5,19171,18687,18774,3374.512,63353088.288
2020-12-08 12:00:00+00:00,18774,18967,18625,18812.5,2472.95,46522371.875
2020-12-08 16:00:00+00:00,18812.5,18931,18753,18790.5,1452.169,27286981.5945
2020-12-08 20:00:00+00:00,18790.5,18840,18179,18322,7160.283,131190705.126
2020-12-09 00:00:00+00:00,18322,18367,18020,18282,4648.577,84985284.714
2020-12-09 04:00:00+00:00,18282,18282,17854,17913.5,4165.028,74610229.078
2020-12-09 08:00:00+00:00,17913.5,18374,17649.5,18245,7675.413,140037910.185
2020-12-09 12:00:00+00:00,18245,18504,18171,18341,2413.648,44268717.968
2020-12-09 16:00:00+00:00,18341,18422.5,18161.5,18242,1822.82,33251882.44
2020-12-09 20:00:00+00:00,18242,18632,18206,18540,2296.003,42567895.62
2020-12-10 00:00:00+00:00,18540,18542,18320,18395.5,2686.878,49426464.249
2020-12-10 04:00:00+00:00,18395.5,18482,18282,18328,1175.942,21552664.976
2020-12-10 08:00:00+00:00,18328,18468,18112,18186,2380.757,43296446.802
2020-12-10 12:00:00+00:00,18186,18273.5,17917,18133.5,5032.3,91253212.05
2020-12-10 16:00:00+00:00,18133.5,18396.5,18081.5,18385.5,3728.527,68550833.1585
2020-12-10 20:00:00+00:00,18385.5,18425.5,18219,18240,3333.456,60802237.44
2020-12-11 00:00:00+00:00,18240,18280,17713,17982,5508.128,99047157.696
2020-12-11 04:00:00+00:00,17982,18034,17696.5,17810.5,2928.226,52153169.173
2020-12-11 08:00:00+00:00,17810.5,17983,17567,17647.5,4836.275,85348163.0625
2020-12-11 12:00:00+00:00,17647.5,18116,17614,18081,4545.247,82182611.007
2020-12-11 16:00:00+00:00,18081,18089.5,17863,17959,2441.863,43853417.617
2020-12-11 20:00:00+00:00,17959,18160.5,17909,18026,2239.298,40365585.748
2020-12-12 00:00:00+00:00,18026,18355,18024,18264.5,2169.737,39629161.4365
2020-12-12 04:00:00+00:00,18264.5,18390,18252,18380,754.92,13875429.6
2020-12-12 08:00:00+00:00,18380,18491,18331.5,18490.5,1758.878,32522533.659
2020-12-12 12:00:00+00:00,18490.5,18499,18308.5,18390,1502.789,27636289.71
2020-12-12 16:00:00+00:00,18390,18830,18361,18788,2593.479,48726283.452
2020-12-12 20:00:00+00:00,18788,18940,18720,18779.5,2233.121,41936895.8195
2020-12-13 00:00:00+00:00,18779.5,18849,18700.5,18769,688.862,12929250.878
2020-12-13 04:00:00+00:00,18769,19278,18760.5,19231,2936.733,56476312.323
2020-12-13 08:00:00+00:00,19231,19374,19162,19322,3125.807,60396842.854
2020-12-13 12:00:00+00:00,19322,19422.5,19102.5,19219,3356.571,64509938.049
2020-12-13 16:00:00+00:00,19219,19395.5,19184,19206,1840.558,35349756.948
